-5.01, -8.12, -3.68, w1
-0.91, -0.18, -0.05, w2
5.35, 2.26, 8.13, w3
-5.43, -3.48, -3.54, w1
1.30, -2.60, -3.53, w2
5.12, 3.22, -2.66, w3
1.08, -5.52, 1.66, w1
-7.75, -4.54, -0.95, w2
-1.34, -5.31, -9.87, w3
0.86, -3.78, -4.11, w1
-5.47, 0.50, 3.92, w2
4.48, 3.42, 5.19, w3
-2.67, 0.63, 7.39, w1
6.14, 5.72, -4.85, w2
7.11, 2.39, 9.21, w3
4.94, 3.29, 2.08, w1
3.60, 1.26, 4.36, w2
7.17, 4.33, -0.98, w3
-2.51, 2.09, -2.59, w1
5.37, -4.63, -3.65, w2
5.75, 3.97, 6.65, w3
-2.25, -2.13, -6.94, w1
7.18, 1.46, -6.66, w2
0.77, 0.27, 2.41, w3
5.56, 2.86, -2.26, w1
-7.39, 1.17, 6.30, w2
0.90, -0.43, -8.71, w3
1.03, -3.33, 4.33, w1
-7.50, -6.32, -0.31, w2
3.52, -0.36, 6.43, w3
